District,Season,Soil_Type,N,P,K,Soil_pH,Temperature,Humidity,Rainfall,Crop
Pune,Zaid,Black,77.0,41.0,51.0,6.84,20.59,69.08,90.28,Vegetables
Nashik,Kharif,Loamy,62.0,36.0,55.0,6.74,28.62,35.11,99.88,Onion
Solapur,Zaid,Black,55.0,35.0,58.0,7.5,25.33,70.86,61.86,Fodder
Pune,Kharif,Black,76.0,40.0,50.0,7.02,20.43,54.81,107.62,Rice
Pune,Rabi,Black,69.0,38.0,56.0,6.66,20.47,61.26,107.35,Wheat
Nashik,Rabi,Loamy,63.0,37.0,56.0,6.4,28.49,43.04,88.41,Gram
Solapur,Zaid,Black,58.0,36.0,62.0,7.74,26.93,75.39,88.34,Fodder
Nashik,Kharif,Loamy,64.0,40.0,59.0,6.93,27.22,28.57,84.55,Onion
Solapur,Zaid,Black,50.0,32.0,61.0,8.23,28.59,73.09,64.81,Fodder
Solapur,Rabi,Black,51.0,34.0,62.0,7.87,25.63,70.16,59.64,Jowar
Solapur,Kharif,Black,56.0,35.0,56.0,7.65,27.24,66.31,60.33,Bajra
Nashik,Kharif,Loamy,62.0,38.0,56.0,7.09,28.92,34.98,89.0,Onion
Pune,Zaid,Black,79.0,35.0,58.0,7.33,20.77,67.93,113.89,Vegetables
Solapur,Zaid,Black,58.0,32.0,60.0,7.97,27.66,68.54,92.1,Fodder
Solapur,Zaid,Black,55.0,34.0,61.0,7.51,26.07,64.47,72.08,Fodder
Solapur,Zaid,Black,55.0,31.0,61.0,7.76,29.03,74.64,80.04,Fodder
Nashik,Rabi,Loamy,69.0,37.0,58.0,6.7,26.71,31.22,106.74,Gram
Solapur,Zaid,Black,54.0,33.0,57.0,7.8,28.31,76.84,61.61,Fodder
Solapur,Kharif,Black,57.0,36.0,60.0,7.56,28.07,59.72,73.29,Bajra
Pune,Rabi,Black,76.0,41.0,54.0,7.17,19.94,68.21,107.53,Wheat
Pune,Zaid,Black,74.0,37.0,54.0,6.68,20.14,66.29,106.45,Vegetables
Pune,Zaid,Black,72.0,38.0,56.0,6.82,22.55,67.24,118.07,Vegetables
Solapur,Rabi,Black,58.0,37.0,58.0,7.65,27.61,71.54,69.44,Jowar
Pune,Zaid,Black,78.0,41.0,52.0,6.79,22.7,55.59,105.08,Vegetables
Solapur,Kharif,Black,50.0,37.0,61.0,7.96,27.25,64.62,62.14,Bajra
Solapur,Rabi,Black,51.0,32.0,58.0,7.97,27.54,70.2,75.89,Jowar
Nashik,Rabi,Loamy,61.0,35.0,53.0,6.95,27.64,34.59,87.16,Gram
Nashik,Rabi,Loamy,63.0,38.0,57.0,6.96,26.64,36.13,93.48,Gram
Solapur,Kharif,Black,56.0,36.0,60.0,7.73,27.66,70.92,86.2,Bajra
Solapur,Kharif,Black,49.0,35.0,60.0,8.09,26.9,75.11,55.91,Bajra
Solapur,Kharif,Black,59.0,32.0,58.0,8.09,28.72,72.19,57.87,Bajra
Pune,Rabi,Black,74.0,37.0,54.0,6.69,19.26,58.65,101.0,Wheat
Pune,Rabi,Black,77.0,41.0,53.0,7.24,21.01,56.11,104.01,Wheat
Solapur,Zaid,Black,57.0,34.0,61.0,7.77,29.03,77.97,71.96,Fodder
Nashik,Zaid,Loamy,66.0,36.0,55.0,7.14,28.9,34.01,99.58,Vegetables
Solapur,Kharif,Black,55.0,32.0,63.0,7.63,26.84,66.85,75.71,Bajra
Nashik,Kharif,Loamy,69.0,34.0,55.0,6.79,28.34,36.0,103.55,Onion
Nashik,Kharif,Loamy,61.0,38.0,58.0,6.95,28.07,44.6,100.16,Onion
Pune,Rabi,Black,76.0,41.0,50.0,7.2,20.52,66.3,127.62,Wheat
Nashik,Zaid,Loamy,59.0,40.0,57.0,6.45,29.27,43.29,90.33,Vegetables
Nashik,Kharif,Loamy,64.0,37.0,59.0,6.69,29.39,33.44,89.58,Onion
Solapur,Kharif,Black,52.0,32.0,59.0,7.67,26.72,66.56,83.36,Bajra
Pune,Kharif,Black,72.0,37.0,50.0,7.1,20.74,64.74,110.09,Rice
Pune,Rabi,Black,69.0,40.0,55.0,6.65,19.18,62.98,108.8,Wheat
Pune,Zaid,Black,78.0,37.0,54.0,6.87,19.17,57.89,125.99,Vegetables
Solapur,Zaid,Black,48.0,34.0,62.0,7.74,28.26,68.66,73.69,Fodder
Nashik,Zaid,Loamy,67.0,40.0,58.0,6.52,29.19,25.05,115.21,Vegetables
Pune,Zaid,Black,78.0,36.0,57.0,7.04,19.39,60.95,113.12,Vegetables
Solapur,Rabi,Black,52.0,31.0,60.0,7.63,26.16,66.16,81.08,Jowar
Pune,Kharif,Black,71.0,40.0,56.0,7.1,19.57,63.9,89.67,Rice
Solapur,Rabi,Black,57.0,34.0,62.0,7.8,28.62,73.73,71.6,Jowar
Nashik,Zaid,Loamy,63.0,36.0,60.0,6.77,29.94,32.12,86.87,Vegetables
Pune,Zaid,Black,77.0,39.0,56.0,6.98,20.08,51.85,124.99,Vegetables
Pune,Rabi,Black,75.0,36.0,54.0,7.11,22.6,65.94,114.4,Wheat
Nashik,Zaid,Loamy,66.0,39.0,58.0,6.92,29.68,32.81,90.58,Vegetables
Pune,Zaid,Black,76.0,36.0,55.0,6.97,19.67,51.9,87.2,Vegetables
Solapur,Kharif,Black,49.0,34.0,60.0,7.82,27.52,76.53,84.9,Bajra
Pune,Kharif,Black,73.0,40.0,57.0,7.11,20.75,58.53,128.24,Rice
Solapur,Kharif,Black,59.0,35.0,63.0,7.59,26.72,67.84,60.94,Bajra
Solapur,Rabi,Black,54.0,36.0,58.0,7.76,26.76,65.43,76.99,Jowar
Nashik,Kharif,Loamy,63.0,38.0,55.0,6.72,28.67,26.44,101.43,Onion
Nashik,Rabi,Loamy,66.0,36.0,54.0,6.57,29.76,40.63,96.49,Gram
Solapur,Zaid,Black,51.0,31.0,62.0,7.98,28.01,74.75,76.16,Fodder
Solapur,Rabi,Black,52.0,33.0,57.0,7.84,27.75,67.37,66.19,Jowar
Nashik,Kharif,Loamy,67.0,37.0,61.0,6.72,27.56,45.43,84.66,Onion
Pune,Kharif,Black,73.0,43.0,54.0,7.23,22.22,71.64,129.46,Rice
Solapur,Zaid,Black,55.0,34.0,61.0,7.68,26.22,76.17,59.18,Fodder
Nashik,Rabi,Loamy,70.0,38.0,61.0,6.66,28.86,25.3,73.41,Gram
Pune,Rabi,Black,77.0,38.0,55.0,6.86,18.75,63.38,111.06,Wheat
Pune,Kharif,Black,76.0,39.0,56.0,7.33,21.53,68.14,113.27,Rice
Solapur,Kharif,Black,51.0,33.0,58.0,7.73,26.04,79.65,76.41,Bajra
Nashik,Zaid,Loamy,64.0,35.0,59.0,6.82,28.9,33.09,82.47,Vegetables
Pune,Rabi,Black,78.0,40.0,54.0,6.99,20.01,72.17,122.63,Wheat
Solapur,Kharif,Black,55.0,33.0,59.0,7.33,27.01,79.03,71.88,Bajra
Solapur,Rabi,Black,57.0,32.0,59.0,7.63,27.25,73.99,72.44,Jowar
Pune,Rabi,Black,73.0,42.0,54.0,6.96,21.25,68.6,101.52,Wheat
Nashik,Zaid,Loamy,59.0,33.0,55.0,6.9,28.25,40.61,109.59,Vegetables
Nashik,Zaid,Loamy,68.0,37.0,55.0,6.54,30.89,31.67,105.68,Vegetables
Nashik,Zaid,Loamy,58.0,34.0,61.0,6.78,28.21,29.7,100.95,Vegetables
Pune,Rabi,Black,70.0,39.0,53.0,6.83,21.76,65.37,112.13,Wheat
Solapur,Kharif,Black,57.0,36.0,58.0,7.77,27.94,68.39,84.56,Bajra
Solapur,Rabi,Black,55.0,35.0,58.0,8.0,27.75,71.18,92.02,Jowar
Solapur,Rabi,Black,57.0,33.0,60.0,7.71,26.63,68.05,82.21,Jowar
Nashik,Zaid,Loamy,63.0,38.0,58.0,6.94,30.22,38.25,87.97,Vegetables
Solapur,Rabi,Black,58.0,35.0,61.0,7.51,28.74,59.67,94.57,Jowar
Solapur,Zaid,Black,52.0,33.0,63.0,7.6,26.78,65.61,70.13,Fodder
Solapur,Kharif,Black,58.0,35.0,61.0,7.62,26.65,64.43,71.44,Bajra
Nashik,Zaid,Loamy,65.0,37.0,57.0,6.48,27.17,38.54,78.97,Vegetables
Pune,Rabi,Black,74.0,38.0,55.0,6.59,18.8,66.52,102.06,Wheat
Solapur,Rabi,Black,53.0,35.0,60.0,7.94,25.69,68.61,82.29,Jowar
Solapur,Rabi,Black,55.0,32.0,62.0,7.43,27.16,77.54,78.43,Jowar
Pune,Rabi,Black,73.0,41.0,52.0,6.61,20.81,72.12,105.16,Wheat
Nashik,Rabi,Loamy,67.0,37.0,58.0,6.99,30.06,35.12,113.38,Gram
Pune,Rabi,Black,77.0,40.0,56.0,6.89,20.35,57.57,129.15,Wheat
Solapur,Zaid,Black,52.0,32.0,59.0,8.27,26.51,73.71,67.55,Fodder
Nashik,Kharif,Loamy,66.0,36.0,56.0,7.02,29.42,39.75,91.22,Onion
Pune,Zaid,Black,77.0,41.0,55.0,6.91,20.37,53.56,100.08,Vegetables
Solapur,Kharif,Black,55.0,36.0,57.0,7.85,28.63,67.86,80.22,Bajra
Solapur,Rabi,Black,55.0,35.0,61.0,7.56,28.91,62.54,75.94,Jowar
Pune,Kharif,Black,72.0,43.0,56.0,7.02,20.47,54.86,109.13,Rice
Nashik,Rabi,Loamy,69.0,34.0,57.0,7.26,26.72,27.92,90.02,Gram
